created_at,last_updated_at,order_id,product_id,currency_code,order_quantity,unit_price,total_unit_price
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,1,12,USD,5,1963.1,9815.5
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,2,13,USD,5,3939.6,19698
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,3,5,USD,10,1775.5,17755
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,4,11,USD,6,2324.9,13949.4
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,5,7,USD,6,1822.4,10934.4
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,6,13,USD,6,1038.5,6231
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,7,12,USD,10,1192.6,11926
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,8,7,USD,10,1815.7,18157
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,9,2,USD,7,3879.3,27155.1
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,10,7,USD,6,1956.4,11738.4
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,11,6,USD,12,201,2412
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,12,11,USD,8,6277.9,50223.2
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,13,5,USD,7,1051.9,7363.3
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,14,12,USD,9,254.6,2291.4
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,15,3,USD,5,3932.9,19664.5
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,16,9,USD,10,1112.2,11122
6/28/2024 8:04:01 AM +00:00,6/28/2024 8:04:01 AM +00:00,17,15,USD,12,1239.5,14874
