created_at,last_updated_at,status,customer_id,channel,currency_code,warehouse_code,city_shipping_id,total_product_order_quantity,total_price,total_cost
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,59,Distributor,USD,NXH382,47,5,9815.5,1001.181
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,33,Wholesale,USD,GUT930,36,5,19698,3348.66
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,8,Export,USD,GUT930,39,10,17755,781.22
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,76,Export,USD,AXW291,20,6,13949.4,1464.687
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,143,Wholesale,USD,AXW291,20,6,10934.4,1476.144
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,124,Wholesale,USD,NXH382,52,6,6231,446.555
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,151,Distributor,USD,AXW291,1,10,11926,536.67
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,20,Distributor,USD,NXH382,51,10,18157,1525.188
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,121,Wholesale,USD,NXH382,54,7,27155.1,2211.201
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,110,Wholesale,USD,NXH382,47,6,11738.4,1212.968
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,130,Export,USD,AXW291,3,12,2412,124.62
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,144,Distributor,USD,AXW291,28,8,50223.2,2762.276
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,130,Export,USD,NXH382,57,7,7363.3,641.659
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,27,Export,USD,NXH382,53,9,2291.4,216.41
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,63,Distributor,USD,AXW291,25,5,19664.5,3146.32
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,110,Wholesale,USD,FLR025,64,10,11122,700.686
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,110,Wholesale,USD,NXH382,58,12,14874,904.835
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,156,Export,USD,AXW291,4,12,11818.8,393.96
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,41,Distributor,USD,FLR025,63,5,27905.5,4130.014
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,4,Wholesale,USD,AXW291,25,8,24763.2,1795.332
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,112,Export,USD,GUT930,35,8,18224,1754.06
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,90,Export,USD,NXH382,51,12,11899.2,654.456
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,109,Distributor,USD,AXW291,4,6,23878.8,3064.446
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,52,Wholesale,USD,GUT930,40,12,23637.6,866.712
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,127,Wholesale,USD,GUT930,31,12,3216,131.32
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,133,Wholesale,USD,AXW291,20,11,1916.2,95.81
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,116,Distributor,USD,GUT930,42,6,17929.2,2510.088
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,20,Wholesale,USD,GUT930,43,11,43998.9,2679.933
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,130,Distributor,USD,AXW291,18,10,59764,2450.324
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,103,Wholesale,USD,AXW291,19,6,17406.6,2378.902
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,133,Distributor,USD,NXH382,55,7,42538.3,2734.605
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,51,Distributor,USD,NXH382,55,6,34411.2,4186.696
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,175,Export,USD,GUT930,39,12,47034,2077.335
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,117,Distributor,USD,FLR025,66,8,48668.8,3832.668
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,42,Wholesale,USD,FLR025,61,5,12830.5,1642.304
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,166,Wholesale,USD,AXW291,15,10,22780,1093.44
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,173,Wholesale,USD,GUT930,46,7,1829.1,120.198
6/28/2024 8:04:03 AM +00:00,6/28/2024 8:04:03 AM +00:00,COMPLETED,11,Wholesale,USD,FLR025,65,9,8984.7,698.81
